date, Billions of US $, US $, Real GDP QoQ %
1947-03-01,243.164,1698.748804
1947-06-01,245.968,1710.605744,-1.07
1947-09-01,249.585,1727.84166,-0.83
1947-12-01,259.745,1789.838894,6.26
1948-03-01,265.742,1823.785765,6.02
1948-06-01,272.567,1863.209127,6.6
1948-09-01,279.196,1900.313774,2.29
1948-12-01,280.366,1899.408565,0.45
1949-03-01,275.034,1855.153992,-5.51
1949-06-01,271.351,1823.019611,-1.36
1949-09-01,272.889,1825.527645,4.13
1949-12-01,270.627,1802.17358,-3.36
1950-03-01,280.828,1862.427546,15.72
1950-06-01,290.383,1919.012153,12.2
1950-09-01,308.153,2027.682549,15.46
1950-12-01,319.945,2095.828584,7.66
1951-03-01,336,2191.909505,5.43
1951-06-01,344.09,2235.773414,6.93
1951-09-01,351.385,2272.718453,8.24
1951-12-01,356.178,2292.833968,0.88
1952-03-01,359.82,2306.893368,4.27
1952-06-01,361.03,2305.61924,0.86
1952-09-01,367.701,2338.068381,2.89
1952-12-01,380.812,2410.416113,13.14
1953-03-01,387.98,2446.681045,7.44
1953-06-01,391.749,2461.353355,3.09
1953-09-01,391.171,2446.51602,-2.25
1953-12-01,385.97,2402.71665,-6.06
1954-03-01,385.345,2388.581027,-1.91
1954-06-01,386.121,2383.713106,0.44
1954-09-01,390.996,2402.713681,4.52
1954-12-01,399.734,2444.497444,7.83
1955-03-01,413.073,2515.608633,11.42
1955-06-01,421.532,2556.846856,6.51
1955-09-01,430.221,2597.764655,5.4
1955-12-01,437.092,2626.454912,2.4
1956-03-01,439.746,2631.49202,-1.55
1956-06-01,446.01,2658.175793,3.31
1956-09-01,451.191,2676.531829,-0.36
1956-12-01,460.463,2717.942815,6.58
1957-03-01,469.779,2760.612792,2.56
1957-06-01,472.025,2762.496415,-0.88
1957-09-01,479.49,2793.612137,3.92
1957-12-01,474.864,2754.159973,-4.14
1958-03-01,467.54,2701.543938,-10.38
1958-06-01,471.978,2716.748499,2.63
1958-09-01,485.841,2784.460377,9.26
1958-12-01,499.555,2849.909863,9.36
1959-03-01,510.33,2898.861087,7.69
1959-06-01,522.653,2957.403226,9.03
1959-09-01,525.034,2958.254686,0.28
1959-12-01,528.6,2965.198465,1.14
1960-03-01,542.648,3026.160083,8.99
1960-06-01,541.08,2999.318186,-2.16
1960-09-01,545.604,3009.382188,1.96
1960-12-01,540.197,2967.805559,-5.13
1961-03-01,545.018,2984.208855,2.7
1961-06-01,555.545,3030.184851,6.79
1961-09-01,567.664,3083.404399,7.68
1961-12-01,580.612,3140.242517,7.84
1962-03-01,594.013,3201.311755,7.13
1962-06-01,600.366,3224.255248,3.61
1962-09-01,609.027,3258.118186,4.91
1962-12-01,612.28,3262.361466,1.32
1963-03-01,621.672,3301.515143,4.37
1963-06-01,629.752,3333.679184,4.49
1963-09-01,644.444,3398.410597,8.79
1963-12-01,653.938,3435.233923,2.62
1964-03-01,669.822,3507.766268,8.43
1964-06-01,678.674,3542.879516,4.35
1964-09-01,692.031,3599.528753,6.25
1964-12-01,697.319,3614.212856,1.24
1965-03-01,717.79,3710.141781,9.68
1965-06-01,730.191,3763.987546,5.05
1965-09-01,749.323,3849.650907,8.89
1965-12-01,771.857,3952.585788,9.22
1966-03-01,795.734,4064.782415,9.74
1966-06-01,804.981,4101.249764,1.37
1966-09-01,819.638,4163.198342,3.39
1966-12-01,833.302,4219.656575,3.28
1967-03-01,844.17,4264.195548,3.54
1967-06-01,848.983,4277.962258,0.25
1967-09-01,865.233,4347.642353,3.78
1967-12-01,881.439,4416.646624,3.02
1968-03-01,909.387,4547.048676,8.16
1968-06-01,934.344,4661.18572,6.68
1968-09-01,950.825,4730.543242,3.1
1968-12-01,968.03,4803.21329,1.57
1969-03-01,993.337,4918.60563,6.26
1969-06-01,1009.02,4984.808738,1.22
1969-09-01,1029.956,5074.02481,2.64
1969-12-01,1038.147,5099.354566,-1.95
1970-03-01,1051.2,5150.769774,-0.59
1970-06-01,1067.375,5213.803176,0.57
1970-09-01,1086.059,5287.042581,3.69
1970-12-01,1088.608,5281.172076,-4.29
1971-03-01,1135.156,5490.131213,10.86
1971-06-01,1156.271,5576.098803,2.16
1971-09-01,1177.675,5661.899038,3.29
1971-12-01,1190.297,5704.973112,0.94
1972-03-01,1230.609,5884.083541,7.36
1972-06-01,1266.369,6040.770475,9.08
1972-09-01,1290.566,6140.260062,3.78
1972-12-01,1328.904,6305.983287,6.7
1973-03-01,1377.49,6522.453502,9.9
1973-06-01,1413.887,6679.896817,4.35
1973-09-01,1433.838,6757.298849,-2.1
1973-12-01,1476.289,6940.448878,3.8
1974-03-01,1491.209,6996.251361,-3.44
1974-06-01,1530.056,7163.11645,0.95
1974-09-01,1560.026,7284.837051,-3.78
1974-12-01,1599.679,7450.763857,-1.55
1975-03-01,1616.116,7512.101704,-4.87
1975-06-01,1651.853,7659.808395,2.86
1975-09-01,1709.82,7905.256393,6.85
1975-12-01,1761.831,8124.72792,5.39
1976-03-01,1820.487,8377.219139,9
1976-06-01,1852.332,8505.675557,2.93
1976-09-01,1886.558,8640.538981,2.19
1976-12-01,1934.273,8835.645473,2.9
1977-03-01,1988.648,9062.913862,4.73
1977-06-01,2055.909,9346.910291,7.78
1977-09-01,2118.473,9604.407611,7.22
1977-12-01,2164.27,9784.178191,0.01
1978-03-01,2202.76,9934.917621,1.28
1978-06-01,2331.633,10489.574008,15.46
1978-09-01,2395.053,10743.375812,4.02
1978-12-01,2476.949,11078.431723,5.38
1979-03-01,2526.61,11271.860166,0.72
1979-06-01,2591.247,11530.130775,0.43
1979-09-01,2667.565,11833.859763,2.97
1979-12-01,2723.883,12046.343265,1
1980-03-01,2789.842,12303.386048,1.26
1980-06-01,2797.352,12302.055069,-8.24
1980-09-01,2856.483,12524.588942,-0.48
1980-12-01,2985.557,13055.09666,7.46
1981-03-01,3124.206,13633.592983,7.84
1981-06-01,3162.532,13769.656121,-2.96
1981-09-01,3260.609,14158.032314,4.79
1981-12-01,3280.818,14208.641724,-4.36
1982-03-01,3274.302,14150.271181,-6.21
1982-06-01,3331.972,14367.7697,1.82
1982-09-01,3366.322,14478.928851,-1.53
1982-12-01,3402.561,14598.62962,0.16
1983-03-01,3473.413,14872.500492,5.27
1983-06-01,3578.848,15292.392363,9.1
1983-09-01,3689.179,15725.199593,8
1983-12-01,3794.706,16137.178773,8.34
1984-03-01,3908.054,16587.313512,7.82
1984-06-01,4009.601,16983.933549,6.91
1984-09-01,4084.25,17258.099274,3.86
1984-12-01,4148.551,17487.316214,3.28
1985-03-01,4230.168,17798.26905,3.88
1985-06-01,4294.887,18032.408807,3.52
1985-09-01,4386.773,18370.917421,6.11
1985-12-01,4444.094,18564.475097,2.97
1986-03-01,4507.894,18793.776395,3.73
1986-06-01,4545.34,18909.921454,1.8
1986-09-01,4607.669,19121.973589,3.83
1986-12-01,4657.627,19283.12612,2.15
1987-03-01,4722.156,19512.315658,2.98
1987-06-01,4806.16,19817.582055,4.32
1987-09-01,4884.555,20091.127838,3.47
1987-12-01,5007.994,20548.061103,6.87
1988-03-01,5073.372,20774.798532,2.07
1988-06-01,5190.036,21208.404845,5.26
1988-09-01,5282.835,21531.481044,2.34
1988-12-01,5399.509,21952.257629,5.33
1989-03-01,5511.253,22361.653007,4.07
1989-06-01,5612.463,22720.958477,3.05
1989-09-01,5695.365,22993.181213,2.96
1989-12-01,5747.237,23139.446963,0.79
1990-03-01,5872.701,23591.208182,4.37
1990-06-01,5960.028,23867.703065,1.45
1990-09-01,6015.116,24003.33606,0.27
1990-12-01,6004.733,23877.386851,-3.64
1991-03-01,6035.178,23924.624789,-1.87
1991-06-01,6126.862,24210.817069,3.12
1991-09-01,6205.937,24436.190026,2.02
1991-12-01,6264.54,24582.730002,1.39
1992-03-01,6363.102,24896.226304,4.79
1992-06-01,6470.763,25233.147064,4.34
1992-09-01,6566.641,25512.81344,3.95
1992-12-01,6680.803,25866.813537,4.17
1993-03-01,6729.459,25978.555353,0.67
1993-06-01,6808.939,26205.764627,2.33
1993-09-01,6882.098,26397.117148,1.91
1993-12-01,7013.738,26816.358054,5.44
1994-03-01,7115.652,27133.086749,3.88
1994-06-01,7246.931,27552.775454,5.42
1994-09-01,7331.075,27782.904461,2.34
1994-12-01,7455.288,28167.388298,4.58
1995-03-01,7522.289,28344.495606,1.42
1995-06-01,7580.997,28484.78256,1.19
1995-09-01,7683.125,28775.749064,3.4
1995-12-01,7772.586,29021.678739,2.72
1996-03-01,7868.468,29306.700138,3
1996-06-01,8032.84,29834.021044,6.67
1996-09-01,8131.408,30102.055322,3.59
1996-12-01,8259.771,30479.872025,4.15
1997-03-01,8362.655,30777.983063,2.58
1997-06-01,8518.825,31263.234576,6.65
1997-09-01,8662.823,31686.569785,5
1997-12-01,8765.907,31963.66401,3.44
1998-03-01,8866.48,32247.608656,4
1998-06-01,8969.699,32533.918746,3.7
1998-09-01,9121.097,32980.058865,5.01
1998-12-01,9293.991,33503.932949,6.46
1999-03-01,9417.264,33862.50418,3.79
1999-06-01,9524.152,34153.393769,3.08
1999-09-01,9681.856,34608.834285,5.24
1999-12-01,9899.378,35280.328734,6.8
2000-03-01,10002.857,35558.886472,1.45
2000-06-01,10247.679,36339.02951,7.32
2000-09-01,10319.825,36495.602418,0.53
2000-12-01,10439.025,36819.619918,2.49
2001-03-01,10472.879,36854.403542,-1.14
2001-06-01,10597.822,37206.489303,2.34
2001-09-01,10596.294,37103.9484,-1.66
2001-12-01,10660.294,37233.267321,1.09
2002-03-01,10788.952,37600.683082,3.5
2002-06-01,10893.207,37879.665756,2.42
2002-09-01,10992.051,38126.731251,1.78
2002-12-01,11071.463,38308.632663,0.62
2003-03-01,11183.507,38615.882103,2.22
2003-06-01,11312.875,38975.910671,3.44
2003-09-01,11567.326,39753.813055,6.79
2003-12-01,11769.275,40351.477188,4.59
2004-03-01,11920.169,40789.390118,2.13
2004-06-01,12108.987,41345.239437,3.05
2004-09-01,12303.34,41904.68081,3.78
2004-12-01,12522.425,42544.948936,4.01
2005-03-01,12761.337,43265.075926,4.43
2005-06-01,12910.022,43675.731085,1.85
2005-09-01,13142.873,44350.654653,3.57
2005-12-01,13332.316,44876.958187,2.53
2006-03-01,13603.933,45691.260042,5.32
2006-06-01,13749.806,46077.203024,0.93
2006-09-01,13867.469,46351.591015,0.62
2006-12-01,14037.228,46799.183853,3.41
2007-03-01,14208.569,47265.946795,0.94
2007-06-01,14382.363,47736.896085,2.29
2007-09-01,14535.003,48119.270216,2.17
2007-12-01,14681.501,48481.159334,2.43
2008-03-01,14651.039,48274.55897,-2.3
2008-06-01,14805.611,48677.048264,2.07
2008-09-01,14835.187,48655.590977,-2.17
2008-12-01,14559.543,47639.989398,-8.66
2009-03-01,14394.547,47004.597746,-4.49
2009-06-01,14352.85,46772.369699,-0.58
2009-09-01,14420.312,46884.193346,1.46
2009-12-01,14628.021,47449.668326,4.39
2010-03-01,14721.35,47657.17819,1.54
2010-06-01,14926.098,48232.409795,3.69
2010-09-01,15079.917,48634.068546,2.95
2010-12-01,15240.843,49055.454703,2.01
2011-03-01,15285.828,49120.247307,-0.96
2011-06-01,15496.189,49714.277923,2.86
2011-09-01,15591.85,49922.995152,-0.11
2011-12-01,15796.46,50481.148416,4.64
2012-03-01,16019.758,51112.586585,3.13
2012-06-01,16152.257,51451.942955,1.72
2012-09-01,16257.151,51686.466328,0.54
2012-12-01,16358.863,51910.486266,0.46
2013-03-01,16569.591,52502.704415,3.54
2013-06-01,16637.926,52638.171861,0.49
2013-09-01,16848.748,53202.316446,3.13
2013-12-01,17083.137,53836.355557,3.19
2014-03-01,17102.932,53810.217784,-1.01
2014-06-01,17425.766,54734.321701,5.02
2014-09-01,17719.836,55546.508092,4.84
2014-12-01,17838.454,55806.032204,1.89
2015-03-01,17970.422,56130.029954,3.29
2015-06-01,18221.299,56820.283582,3.3
2015-09-01,18331.093,57050.224857,0.96
2015-12-01,18354.372,57010.539002,0.4
2016-03-01,18409.13,57086.821965,1.54
2016-06-01,18640.732,57711.601929,2.26
2016-09-01,18799.648,58094.250416,1.91
2016-12-01,18979.245,58544.127309,1.75
2017-03-01,19162.55,59025.621596,1.77
2017-06-01,19359.123,59546.927627,2.96
2017-09-01,19588.074,60147.555632,2.79
2017-12-01,19831.829,60793.178181,2.27
2018-03-01,20041.047,61349.517862,2.2
2018-06-01,20411.924,62395.453906,4.1
2018-09-01,20658.204,63040.564912,3.31
2018-12-01,20891.367,63647.203088,2.56
