date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,543.3,3007.1234
1961-12-31,563.3,3066.5629,2.3
1962-12-31,605.1,3243.8431,6.1
1963-12-31,638.6,3374.5152,4.4
1964-12-31,685.8,3573.9412,5.8
1965-12-31,743.7,3827.5271,6.4
1966-12-31,815,4146.3166,6.5
1967-12-31,861.7,4336.4266,2.5
1968-12-31,942.5,4695.9234,4.8
1969-12-31,1019.9,5032.1447,3.1
1970-12-31,1073.303,5234.2967,-0.4105
1971-12-31,1164.85,5609.3826,3.2934
1972-12-31,1279.11,6094.018,5.2589
1973-12-31,1425.376,6726.359,5.6457
1974-12-31,1545.243,7225.6914,-0.5405
1975-12-31,1684.904,7801.4567,-0.2055
1976-12-31,1873.412,8592.2535,5.3881
1977-12-31,2081.826,9452.5765,4.6242
1978-12-31,2351.599,10564.9482,5.5353
1979-12-31,2627.334,11674.1863,3.1662
1980-12-31,2857.307,12574.7915,-0.2568
1981-12-31,3207.042,13976.1098,2.5377
1982-12-31,3343.789,14433.7877,-1.8029
1983-12-31,3634.038,15543.8937,4.5839
1984-12-31,4037.613,17121.2255,7.2366
1985-12-31,4338.979,18236.8277,4.1697
1986-12-31,4579.631,19071.2272,3.4627
1987-12-31,4855.215,20038.9411,3.4596
1988-12-31,5236.438,21417.0119,4.177
1989-12-31,5641.58,22857.1544,3.6727
1990-12-31,5963.144,23888.6,1.886
1991-12-31,6158.129,24342.2589,-0.1083
1992-12-31,6520.327,25418.9908,3.5224
1993-12-31,6858.559,26387.2937,2.7528
1994-12-31,7287.236,27694.8534,4.0288
1995-12-31,7639.749,28690.8757,2.6843
1996-12-31,8073.122,29967.7127,3.7725
1997-12-31,8577.554457,31459.139,4.4472
1998-12-31,9062.818202,32853.677,4.4814
1999-12-31,9630.664202,34513.5615,4.7532
2000-12-31,10252.345464,36334.9088,4.1275
2001-12-31,10581.821399,37133.2428,0.9983
2002-12-31,10936.419054,38023.1611,1.7417
2003-12-31,11458.243878,39496.4859,2.8612
2004-12-31,12213.729147,41712.8011,3.7989
2005-12-31,13036.64023,44114.7478,3.5132
2006-12-31,13814.611414,46298.7314,2.855
2007-12-31,14451.858656,47975.9677,1.8762
2008-12-31,14712.844084,48382.5584,-0.1366
2009-12-31,14448.933025,47099.9805,-2.5368
2010-12-31,14992.052727,48466.6576,2.5638
2011-12-31,15542.581104,49882.5581,1.5508
2012-12-31,16197.007349,51602.931,2.2495
2013-12-31,16784.849196,53106.5368,1.8421
2014-12-31,17527.163695,55049.9883,2.526
2015-12-31,18238.300569,56863.3715,3.0755
2016-12-31,18745.075687,58021.4005,1.7114
2017-12-31,19542.979183,60109.6557,2.3327
2018-12-31,20611.860934,63064.4184,2.9965
2019-12-31,21433.224697,65279.529,2.1612
2020-12-31,20936.6,63543.5778,-3.4861
